Data,Zamkniecie
2023-10-23,0.937356
2023-10-24,0.944064
2023-10-25,0.946279
2023-10-26,0.946853
2023-10-27,0.94602
2023-10-30,0.94232
2023-10-31,0.945233
2023-11-01,0.945322
2023-11-02,0.94185
2023-11-03,0.931827
2023-11-06,0.932705
2023-11-07,0.934684
2023-11-08,0.933881
2023-11-09,0.937215
2023-11-10,0.935882
2023-11-13,0.934631
2023-11-14,0.919565
2023-11-15,0.921692
2023-11-16,0.921353
2023-11-17,0.916733
2023-11-20,0.913926
2023-11-21,0.916481
2023-11-22,0.91856
2023-11-23,0.916876
2023-11-24,0.913675
2023-11-27,0.912866
2023-11-28,0.909603
2023-11-29,0.91141
2023-11-30,0.918121
2023-12-01,0.919159
2023-12-04,0.922917
2023-12-05,0.926131
2023-12-06,0.928651
2023-12-07,0.926492
2023-12-08,0.929057
2023-12-11,0.928953
2023-12-12,0.926251
2023-12-13,0.919295
2023-12-14,0.909735
2023-12-15,0.917885
2023-12-18,0.915532
2023-12-19,0.91044
2023-12-20,0.913776
2023-12-21,0.908421
2023-12-22,0.908042
2023-12-26,0.905674
2023-12-27,0.900414
2023-12-28,0.903971
2023-12-29,0.905715
2024-01-02,0.913959
2024-01-03,0.915625
2024-01-04,0.913442
2024-01-05,0.914118
2024-01-08,0.913183
2024-01-09,0.914996
2024-01-10,0.911361
2024-01-11,0.911344
2024-01-12,0.913125
2024-01-15,0.913267
2024-01-16,0.919388
2024-01-17,0.918957
2024-01-18,0.919616
2024-01-19,0.917843
2024-01-22,0.918957
2024-01-23,0.921336
2024-01-24,0.918627
2024-01-25,0.921905
2024-01-26,0.921276
2024-01-29,0.923037
2024-01-30,0.922177
2024-01-31,0.924727
2024-02-01,0.919717
2024-02-02,0.926492
2024-02-05,0.930795
2024-02-06,0.929834
2024-02-07,0.928289
2024-02-08,0.927936
2024-02-09,0.927093
2024-02-12,0.928272
2024-02-13,0.933645
2024-02-14,0.932192
2024-02-15,0.928246
2024-02-16,0.927927
2024-02-19,0.927704
2024-02-20,0.925103
2024-02-21,0.924222
2024-02-22,0.924043
2024-02-23,0.924009
2024-02-26,0.921616
2024-02-27,0.922075
2024-02-28,0.922619
2024-02-29,0.925471
2024-03-01,0.922722
2024-03-04,0.921302
2024-03-05,0.921064
2024-03-06,0.917574
2024-03-07,0.913475
2024-03-08,0.914369
2024-03-11,0.915298
2024-03-12,0.915105
2024-03-13,0.913333
2024-03-14,0.918754
2024-03-15,0.918391
2024-03-18,0.919793
2024-03-19,0.920327
2024-03-20,0.914712
2024-03-21,0.92064
2024-03-22,0.925274
2024-03-25,0.922747
2024-03-26,0.923122
2024-03-27,0.924752
2024-03-28,0.92693
2024-03-29,0.926809
2024-04-01,0.930769
2024-04-02,0.928186
2024-04-03,0.923062
2024-04-04,0.922679
2024-04-05,0.9229
